player_id,name,team,position,overall_rank,position_rank,tier,ppr_points,points_per_game,vorp,low_ppr,high_ppr,confidence,games,pass_attempts,completions,passing_yards,passing_touchdowns,interceptions,carries,rushing_yards,rushing_touchdowns,targets,receptions,receiving_yards,receiving_touchdowns,fumbles_lost,data_mode,model_version,projection_season
00-0039793,AJ Barner,SEA,TE,140,25,10,91.00917178863628,6.91367274147368,-42.0963541716832,74.62752086668175,107.39082271059081,0.62,13.163650521479163,,,,,,4.77860602086978,16.099999999999998,0.2586070045687503,54.73254333836731,36.23805648885667,417.08950952511196,1.8040124514025524,0.46177619427969985,production,2026.2.0,2026
00-0035659,Terry McLaurin,WAS,WR,141,59,10,96.59236959664612,8.497551019733303,-42.686531430911415,79.20574306924982,113.97899612404242,0.62,11.367083218722199,,,,,,0.04481250339095661,2.7376769368419183,0.0,52.393433485862104,37.364856524975934,383.5520336759507,3.4499999999999997,0.050728994804545395,production,2026.2.0,2026
00-0038997,Josh Downs,IND,WR,142,60,10,96.40906056176864,8.50935688529923,-42.8698404657889,79.05542966065029,113.76269146288699,0.62,11.329770493975284,,,,,,2.3,12.840063924902527,0.055440254562647305,53.03930252956537,45.12505137189371,342.9067203991742,2.6071136316322256,0.13299627985100285,production,2026.2.0,2026
00-0026498,Matthew Stafford,LAR,QB,143,17,10,180.7541682859349,13.523868397234764,-43.769843382498124,148.21841799446662,213.28991857740317,0.54,13.365566935189479,400.8503403876957,307.29694214079626,2923.128480260412,20.23016291288419,8.91025938889981,18.26423792555117,1.15,0.8162592028698897,,,,,2.141829507719013,production,2026.2.0,2026
00-0038608,Kayshon Boutte,NE,WR,144,61,10,95.16560913668656,8.90714946144253,-44.11329189087098,78.03579949208299,112.29541878129012,0.62,10.684182358075565,,,,,,0.5208252596416212,9.42200862380428,0.013003336452323634,52.9,35.03197240219991,414.92880837538206,3.0362772522257395,0.29856424875019216,production,2026.2.0,2026
00-0039894,Xavier Worthy,KC,WR,145,62,10,95.02573705627945,6.552741566791568,-44.253163971278084,77.92110438614915,112.13036972640975,0.62,14.501676296507311,,,,,,9.830934737049091,82.4646215838549,0.37222422313979425,61.74397154313075,33.10643025470066,454.1421447372025,1.15,0.4373575846828587,production,2026.2.0,2026
00-0039391,Kimani Vidal,LAC,RB,146,42,10,86.82520490309734,7.505125084612086,-44.35694003237545,71.19666802053983,102.45374178565486,0.62,11.56878851774461,,,,,,83.29126360305497,486.82368782190395,2.528615630098953,20.788523506253256,11.446245979674565,106.25393521759554,0.35491697036907993,0.6149994916676845,production,2026.2.0,2026
00-0031588,Stefon Diggs,FA,WR,147,63,10,94.33352694813318,7.497485427943219,-44.945374079424354,77.35349209746921,111.31356179879715,0.38000000000000006,12.582022046558569,,,,,,0.0,-2.71246997240238,0.0540291526711906,61.71500554814596,41.01475512727503,384.9734668163016,2.4614162034068485,0.0,production,2026.2.0,2026
BEL267684,Chris Bell,MIA,WR,148,64,10,93.56603773584905,7.834123222748815,-45.71286329170849,67.36754716981132,119.76452830188678,0.5,11.943396226415095,,,,,,3.452830188679245,23.339622641509433,0.11320754716981132,56.75850619705429,33.58490566037736,428.1698113207547,2.4339622641509435,0.22641509433962265,production,2026.2.0,2026
BRA531428,Zachariah Branch,ATL,WR,149,65,10,93.56603773584905,7.834123222748815,-45.71286329170849,67.36754716981132,119.76452830188678,0.5,11.943396226415095,,,,,,3.452830188679245,23.339622641509433,0.11320754716981132,60.98701389824797,33.58490566037736,428.1698113207547,2.4339622641509435,0.22641509433962265,production,2026.2.0,2026
BRA836631,Chris Brazzell II,CAR,WR,150,66,10,93.56603773584905,7.834123222748815,-45.71286329170849,67.36754716981132,119.76452830188678,0.5,11.943396226415095,,,,,,3.452830188679245,23.339622641509433,0.11320754716981132,55.27621836393756,33.58490566037736,428.1698113207547,2.4339622641509435,0.22641509433962265,production,2026.2.0,2026
DOU210628,Caleb Douglas,MIA,WR,151,67,10,93.56603773584905,7.834123222748815,-45.71286329170849,67.36754716981132,119.76452830188678,0.5,11.943396226415095,,,,,,3.452830188679245,23.339622641509433,0.11320754716981132,50.42037338455429,33.58490566037736,428.1698113207547,2.4339622641509435,0.22641509433962265,production,2026.2.0,2026
FIE775129,Malachi Fields,NYG,WR,152,68,10,93.56603773584905,7.834123222748815,-45.71286329170849,67.36754716981132,119.76452830188678,0.5,11.943396226415095,,,,,,3.452830188679245,23.339622641509433,0.11320754716981132,47.195166232921274,33.58490566037736,428.1698113207547,2.4339622641509435,0.22641509433962265,production,2026.2.0,2026
HUR541377,Ted Hurst,TAM,WR,153,69,10,93.56603773584905,7.834123222748815,-45.71286329170849,67.36754716981132,119.76452830188678,0.5,11.943396226415095,,,,,,3.452830188679245,23.339622641509433,0.11320754716981132,62.16136792452829,33.58490566037736,428.1698113207547,2.4339622641509435,0.22641509433962265,production,2026.2.0,2026
LAN311008,Ja'Kobi Lane,BAL,WR,154,70,10,93.56603773584905,7.834123222748815,-45.71286329170849,67.36754716981132,119.76452830188678,0.5,11.943396226415095,,,,,,3.452830188679245,23.339622641509433,0.11320754716981132,45.964912735849055,33.58490566037736,428.1698113207547,2.4339622641509435,0.22641509433962265,production,2026.2.0,2026
THO417520,Zavion Thomas,CHI,WR,155,71,10,93.56603773584905,7.834123222748815,-45.71286329170849,67.36754716981132,119.76452830188678,0.5,11.943396226415095,,,,,,3.452830188679245,23.339622641509433,0.11320754716981132,51.42614344676549,33.58490566037736,428.1698113207547,2.4339622641509435,0.22641509433962265,production,2026.2.0,2026
WIL143106,Antonio Williams,WAS,WR,156,72,10,93.56603773584905,7.834123222748815,-45.71286329170849,67.36754716981132,119.76452830188678,0.5,11.943396226415095,,,,,,3.452830188679245,23.339622641509433,0.11320754716981132,50.74724954623511,33.58490566037736,428.1698113207547,2.4339622641509435,0.22641509433962265,production,2026.2.0,2026
SIM639376,Ty Simpson,LAR,QB,157,18,10,178.27,15.846222222222224,-46.25401166843301,128.3544,228.18560000000002,0.5,11.25,364.08333333333337,207.91666666666666,2297.1666666666665,13.833333333333334,7.333333333333333,61.75,333.8333333333333,2.6666666666666665,,,,,1.8333333333333333,production,2026.2.0,2026
