season,position,target,model,is_baseline,mae,rmse,r2,bias,n,spearman
2019,QB,pass_attempts,ridge_baseline,true,111.99232184201664,159.88648510465285,0.4611717762226264,12.250110284482801,102,0.6569407238276271
2019,QB,pass_attempts,historical_median_comparable_opportunity,true,87.25490196078431,165.3676830225159,0.42359451011225857,-14.490196078431373,102,0.6596159959388979
2019,QB,pass_attempts,ridge,false,106.93407622440154,152.03130038505043,0.5128161917246002,18.18291459663756,102,0.7046317608417162
2019,QB,pass_attempts,elastic_net,false,106.31963041737288,151.49203739302507,0.5162661951948773,18.816908070377252,102,0.7097428048236604
2020,QB,pass_attempts,previous_season_total,true,106.06306306306307,169.36939213149168,0.33950643921809065,47.612612612612615,111,0.5990276329978175
2020,QB,pass_attempts,previous_season_per_game,true,106.06306306306307,169.36939213149168,0.33950643921809065,47.612612612612615,111,0.5990276329978175
2020,QB,pass_attempts,two_year_weighted_average,true,106.06306306306307,169.36939213149168,0.33950643921809065,47.612612612612615,111,0.5990276329978175
2020,QB,pass_attempts,three_year_weighted_average,true,106.06306306306307,169.36939213149168,0.33950643921809065,47.612612612612615,111,0.5990276329978175
2020,QB,pass_attempts,position_age_group_average,true,180.3860176017664,203.5309014300541,0.04619533446187907,27.250310481131734,111,0.11125110924045384
2020,QB,pass_attempts,ridge_baseline,true,87.80795974346083,135.29917735464224,0.5785082850616003,1.6569738913734635,111,0.6915144840752553
2020,QB,pass_attempts,historical_median_comparable_opportunity,true,80.66666666666667,156.43684504133444,0.4365221774725163,-6.972972972972973,111,0.630178163637518
2020,QB,pass_attempts,ridge,false,89.29785835095107,126.79011021064525,0.6298570439702149,13.187616441413567,111,0.7386977573642328
2020,QB,pass_attempts,elastic_net,false,88.90913901211022,126.45600790119586,0.6318051877445894,13.514118227689533,111,0.7350192466716919
2021,QB,pass_attempts,previous_season_total,true,101.62962962962963,163.42151814431475,0.4468932275700541,35.74074074074074,108,0.5761010996321683
2021,QB,pass_attempts,previous_season_per_game,true,101.62962962962963,163.42151814431475,0.4468932275700541,35.74074074074074,108,0.5761010996321683
2021,QB,pass_attempts,two_year_weighted_average,true,101.62962962962963,163.42151814431475,0.4468932275700541,35.74074074074074,108,0.5761010996321683
2021,QB,pass_attempts,three_year_weighted_average,true,101.62962962962963,163.42151814431475,0.4468932275700541,35.74074074074074,108,0.5761010996321683
2021,QB,pass_attempts,position_age_group_average,true,186.68223273667735,215.9861051435877,0.03385542257803564,18.183354543102126,108,0.058093302276974165
