position,target,model,is_baseline,mae,rmse,spearman,folds
RB,fantasy_points_ppr,historical_median_comparable_opportunity,true,31.65730783803797,60.676121166378145,0.6003291822771483,8
TE,targets,position_age_group_average,true,21.54887884096271,28.908110127248296,0.19840436419462457,8
TE,targets,three_year_weighted_average,true,14.520460499615806,22.397493272437973,0.5877272601008054,8
RB,carries,historical_median_comparable_opportunity,true,30.36661194331041,58.164844739108545,0.6056984066366564,8
TE,receiving_yards,historical_median_comparable_opportunity,true,101.24007225989831,185.27026815483143,0.5741768814514632,8
WR,carries,two_year_weighted_average,true,1.1437384943108122,3.0381213361564607,0.4904133057728768,8
WR,rushing_yards,position_age_group_average,true,9.061768108175801,19.54937694422373,0.1973608847238662,8
WR,rushing_tds,ridge_baseline,true,0.07414029224890742,0.24184061199027676,0.1818387942574836,8
RB,fantasy_points_ppr,elastic_net,false,32.19172964029922,49.43220344409551,0.723950941618112,8
QB,pass_attempts,ridge_baseline,true,96.05586774049064,138.48944159808394,0.6617242272904952,8
TE,rushing_yards,ridge_baseline,true,3.4165879177854035,23.58464044204989,0.11762139177934836,8
RB,fumbles_lost,three_year_weighted_average,true,0.3607724790065056,0.7645811763970792,0.2996819206464451,8
QB,rushing_tds,two_year_weighted_average,true,0.7567251848265968,1.5277561503158668,0.5283425769790362,8
QB,rushing_tds,ridge_baseline,true,0.7635330273797778,1.422092647809667,0.5594900468317183,8
TE,receiving_tds,ridge,false,0.9254940221189667,1.4072448703081155,0.6250286449561903,8
TE,receiving_tds,ridge_baseline,true,0.933625819665302,1.5482453818692028,0.5761072590717753,8
WR,rushing_yards,previous_season_per_game,true,8.202096575692252,21.187106229982952,0.36602342050958847,8
QB,carries,previous_season_per_game,true,12.495294269886767,20.11308322641585,0.6180149044828342,8
WR,rushing_tds,historical_median_comparable_opportunity,true,0.03889211760219917,0.25700925764066856,,8
RB,receiving_tds,historical_median_comparable_opportunity,true,0.354853377263579,1.0401205971543632,,8
WR,fumbles_lost,two_year_weighted_average,true,0.18565162707990693,0.4822194159324263,0.11241489578754305,8
